factura,fecha,fecha de entrega,productCode,producto,categoria,precio compra,precio,cantidad,status,customerNumber,cliente,ciudad,pais,employeeNumber,vendedor
10100,2003-01-06,2003-01-10,S18_1749,1917 Grand Touring Sedan,Vintage Cars,86.7,136.0,30,Shipped,363,Online Diecast Creations Co.,Nashua,USA,1216,Steve Patterson
10100,2003-01-06,2003-01-10,S18_2248,1911 Ford Town Car,Vintage Cars,33.3,55.09,50,Shipped,363,Online Diecast Creations Co.,Nashua,USA,1216,Steve Patterson
10100,2003-01-06,2003-01-10,S18_4409,1932 Alfa Romeo 8C2300 Spider Sport,Vintage Cars,43.26,75.46,22,Shipped,363,Online Diecast Creations Co.,Nashua,USA,1216,Steve Patterson
10100,2003-01-06,2003-01-10,S24_3969,1936 Mercedes Benz 500k Roadster,Vintage Cars,21.75,35.29,49,Shipped,363,Online Diecast Creations Co.,Nashua,USA,1216,Steve Patterson
10101,2003-01-09,2003-01-11,S18_2325,1932 Model A Ford J-Coupe,Vintage Cars,58.48,108.06,25,Shipped,128,"Blauer See Auto, Co.",Frankfurt,Germany,1504,Barry Jones
10101,2003-01-09,2003-01-11,S18_2795,1928 Mercedes-Benz SSK,Vintage Cars,72.56,167.06,26,Shipped,128,"Blauer See Auto, Co.",Frankfurt,Germany,1504,Barry Jones
10101,2003-01-09,2003-01-11,S24_1937,1939 Chevrolet Deluxe Coupe,Vintage Cars,22.57,32.53,45,Shipped,128,"Blauer See Auto, Co.",Frankfurt,Germany,1504,Barry Jones
10101,2003-01-09,2003-01-11,S24_2022,1938 Cadillac V-16 Presidential Limousine,Vintage Cars,20.61,44.35,46,Shipped,128,"Blauer See Auto, Co.",Frankfurt,Germany,1504,Barry Jones
10102,2003-01-10,2003-01-14,S18_1342,1937 Lincoln Berline,Vintage Cars,60.62,95.55,39,Shipped,181,Vitachrome Inc.,NYC,USA,1286,Foon Yue Tseng
10102,2003-01-10,2003-01-14,S18_1367,1936 Mercedes-Benz 500K Special Roadster,Vintage Cars,24.26,43.13,41,Shipped,181,Vitachrome Inc.,NYC,USA,1286,Foon Yue Tseng
10103,2003-01-29,2003-02-02,S10_1949,1952 Alpine Renault 1300,Classic Cars,98.58,214.3,26,Shipped,121,Baane Mini Imports,Stavern,Norway,1504,Barry Jones
10103,2003-01-29,2003-02-02,S10_4962,1962 LanciaA Delta 16V,Classic Cars,103.42,119.67,42,Shipped,121,Baane Mini Imports,Stavern,Norway,1504,Barry Jones
10103,2003-01-29,2003-02-02,S12_1666,1958 Setra Bus,Trucks and Buses,77.9,121.64,27,Shipped,121,Baane Mini Imports,Stavern,Norway,1504,Barry Jones
10103,2003-01-29,2003-02-02,S18_1097,1940 Ford Pickup Truck,Trucks and Buses,58.33,94.5,35,Shipped,121,Baane Mini Imports,Stavern,Norway,1504,Barry Jones
10103,2003-01-29,2003-02-02,S18_2432,1926 Ford Fire Engine,Trucks and Buses,24.92,58.34,22,Shipped,121,Baane Mini Imports,Stavern,Norway,1504,Barry Jones
10103,2003-01-29,2003-02-02,S18_2949,1913 Ford Model T Speedster,Vintage Cars,60.78,92.19,27,Shipped,121,Baane Mini Imports,Stavern,Norway,1504,Barry Jones
10103,2003-01-29,2003-02-02,S18_2957,1934 Ford V8 Coupe,Vintage Cars,34.35,61.84,35,Shipped,121,Baane Mini Imports,Stavern,Norway,1504,Barry Jones
10103,2003-01-29,2003-02-02,S18_3136,18th Century Vintage Horse Carriage,Vintage Cars,60.74,86.92,25,Shipped,121,Baane Mini Imports,Stavern,Norway,1504,Barry Jones
10103,2003-01-29,2003-02-02,S18_3320,1917 Maxwell Touring Car,Vintage Cars,57.54,86.31,46,Shipped,121,Baane Mini Imports,Stavern,Norway,1504,Barry Jones
10103,2003-01-29,2003-02-02,S18_4600,1940s Ford truck,Trucks and Buses,84.76,98.07,36,Shipped,121,Baane Mini Imports,Stavern,Norway,1504,Barry Jones
10103,2003-01-29,2003-02-02,S18_4668,1939 Cadillac Limousine,Vintage Cars,23.14,40.75,41,Shipped,121,Baane Mini Imports,Stavern,Norway,1504,Barry Jones
10103,2003-01-29,2003-02-02,S24_2300,1962 Volkswagen Microbus,Trucks and Buses,61.34,107.34,36,Shipped,121,Baane Mini Imports,Stavern,Norway,1504,Barry Jones
10103,2003-01-29,2003-02-02,S24_4258,1936 Chrysler Airflow,Vintage Cars,57.46,88.62,25,Shipped,121,Baane Mini Imports,Stavern,Norway,1504,Barry Jones
10103,2003-01-29,2003-02-02,S32_1268,1980’s GM Manhattan Express,Trucks and Buses,53.93,92.46,31,Shipped,121,Baane Mini Imports,Stavern,Norway,1504,Barry Jones
10103,2003-01-29,2003-02-02,S32_3522,1996 Peterbilt 379 Stake Bed with Outrigger,Trucks and Buses,33.61,63.35,45,Shipped,121,Baane Mini Imports,Stavern,Norway,1504,Barry Jones
10103,2003-01-29,2003-02-02,S700_2824,1982 Camaro Z28,Classic Cars,46.53,94.07,42,Shipped,121,Baane Mini Imports,Stavern,Norway,1504,Barry Jones
10104,2003-01-31,2003-02-01,S12_3148,1969 Corvair Monza,Classic Cars,89.14,131.44,34,Shipped,141,Euro+ Shopping Channel,Madrid,Spain,1370,Gerard Hernandez
10104,2003-01-31,2003-02-01,S12_4473,1957 Chevy Pickup,Trucks and Buses,55.7,111.39,41,Shipped,141,Euro+ Shopping Channel,Madrid,Spain,1370,Gerard Hernandez
10104,2003-01-31,2003-02-01,S18_2238,1998 Chrysler Plymouth Prowler,Classic Cars,101.51,135.9,24,Shipped,141,Euro+ Shopping Channel,Madrid,Spain,1370,Gerard Hernandez
